,department,number,title,time,location,instructor,card_core
304,ECE,550,Communication and Modulation,TuTh 10:00AM - 11:50AM,Belknap / W S Speed 113,Andre Faul,
305,ECE,551,Communication Systems Laboratory,We 7:00PM - 9:30PM,Belknap / W S Speed 204,Andre Faul,
306,ENGR,101,Engineering Analysis I,TBA,Belknap / TBA,To be Announced,QR
307,ENGR,102,Engineering Analysis II,MoWeFr 9:30AM - 10:45AM/TuTh 9:30AM - 10:45AM,Belknap / Belknap Academic Building 130 Belknap Academic Building 130,Jeffrey Hieb Jeffrey Hieb,
308,ENGR,102,Engineering Analysis II,MoWeFr 11:00AM - 12:15PM/TuTh 9:30AM - 10:45AM,Belknap / Belknap Academic Building 130 Belknap Academic Building 129,Mara Broering Mara Broering,
309,ENGR,102,Engineering Analysis II,MoWeFr 2:30PM - 3:45PM/TuTh 9:30AM - 10:45AM,Belknap / Belknap Academic Building 130 Belknap Academic Building 129,Mara Broering Mara Broering,
310,ENGR,111,"Engineering Methods, Tools and Practice ll",MoWeFr 2:30PM - 4:15PM,Belknap / Speed Schl Engineering Garage,Nicholas Hawkins,
311,ENGR,151,Engineering Graphics Technology,MoWe 8:00AM - 9:15AM,Belknap / Sackett 213,Samantha Crowder,
312,ENGR,151,Engineering Graphics Technology,MoWe 9:30AM - 10:45AM,Belknap / Sackett 213,Samantha Crowder,
313,ENGR,151,Engineering Graphics Technology,MoWe 11:00AM - 12:15PM,Belknap / Sackett 213,Samantha Crowder,
314,ENGR,151,Engineering Graphics Technology,MoWe 2:30PM - 3:45PM,Belknap / Sackett 213,Samantha Crowder,
315,ENGR,151,Engineering Graphics Technology,MoWe 4:00PM - 5:15PM,Belknap / Sackett 213,Samantha Crowder,
316,ENGR,151,Engineering Graphics Technology, ,ONLINE,Samantha Crowder,
317,ENGR,201,Engineering Analysis III,MoWeFr 8:00AM - 9:15AM/TuTh 8:00AM - 9:15AM,Belknap / Ernst Hall 103 Ernst Hall 103,Patricia Ralston Patricia Ralston,
318,ENGR,201,Engineering Analysis III,MoWeFr 9:30AM - 10:45AM/TuTh 8:00AM - 9:15AM,Belknap / Ernst Hall 103 Ernst Hall 103,Patricia Ralston Patricia Ralston,
319,ENGR,201,Engineering Analysis III,MoWeFr 8:00AM - 9:15AM/TuTh 8:00AM - 9:15AM,Belknap / Ernst Hall 103 Ernst Hall 103,Patricia Ralston Patricia Ralston,
320,ENGR,201,Engineering Analysis III,MoWeFr 9:30AM - 10:45AM/TuTh 8:00AM - 9:15AM,Belknap / Ernst Hall 103 Ernst Hall 103,Patricia Ralston Patricia Ralston,
321,ENGR,205,Differential  Equations for Engineering,TuTh 11:00AM - 12:50PM,Belknap / Belknap Academic Building 129,Brian Robinson,
322,ENGR,209,Summer Research Project, ,Belknap,Erin Gerber,
323,ENGR,307,Numerical Methods for Engineering,TuTh 8:00AM - 9:15AM,Belknap / Duthie Center Engineering 117,James Lewis,
324,ENGR,330,Linear Algebra for Engineering,MoWe 1:00PM - 2:15PM,Belknap / Belknap Academic Building 131,Nicholas Hawkins,
325,ENGL,101,Introduction to College Writing, ,ONLINE,Vincent Joshua Adams,WC
326,ENGL,101,Introduction to College Writing, ,ONLINE,Kylee Auten,WC
327,ENGL,101,Introduction to College Writing, ,ONLINE,Robin Mozer,WC
328,ENGL,102,Intermediate College Writing, ,ONLINE,Crystal Fodrey,WC
329,ENGL,102,Intermediate College Writing, ,ONLINE,Stephen Schneider,WC
330,ENGL,102,Intermediate College Writing, ,ONLINE,Spenser Secrest,WC
331,ENGL,102,Intermediate College Writing, ,ONLINE,Cecilia Durbin,WC
332,ENGL,102,Intermediate College Writing, ,ONLINE,Danette Butler,WC
333,ENGL,102,Intermediate College Writing, ,ONLINE,John Wieland,WC
334,ENGL,102,Intermediate College Writing, ,ONLINE,Heather Lehocky,WC
335,ENGL,202,Introduction to Creative Writing, ,ONLINE,Ian Stansel,AH
336,ENGL,300,Special Topics: Introduction to Literature, ,ONLINE,Joseph Turner,WR
337,ENGL,301,Special Topics: Literature in English Before 1800, ,ONLINE,Andrew Rabin,
338,ENGL,303,Special Topics: Scientific and Technical Writing, ,ONLINE,Marie Pruitt,WR
339,ENGL,306,Special Topics: Business Writing, ,ONLINE,Timothy Roberts,WR
340,ENGL,450,Cooperative Internship in English Studies, ,Belknap,Mark Mattes,
341,ENGL,450,Cooperative Internship in English Studies, ,Belknap,Mark Mattes,
342,ENGL,491,Special Topics: Interpretive Theory: The New Criticism to the Present, ,ONLINE,Karen Hadley,
343,ENGL,501,Independent Study, ,Belknap,- TBA,
344,ENGL,502,Independent Study, ,Belknap,- TBA,
345,ENGL,555,Cooperative Internship in English Studies, ,Belknap,Mark Mattes,CUE
346,ENVS,200,The Global Environment, ,ONLINE,Christopher Day,S
347,ENVS,376,Storm Observation Field Course, ,Off Campus / OFF CAMPUS,"Jason Naylor, William Gunter",
348,EQIN,396,Zero-Credit Internship-Equine, ,INTERN,Terri Burch,
349,EQIN,397,Co-op In Equine I, ,Belknap,Terri Burch,
350,EQIN,399,Co-op in Equine III, ,Belknap,Terri Burch,
351,FIN,201,Money Management and Personal Finance, ,ONLINE,Jay Brandi,
352,FIN,201,Money Management and Personal Finance, ,ONLINE,Jay Brandi,
353,FIN,301,Corporate Finance, ,ONLINE,Jay Brandi,
354,FIN,301,Corporate Finance, ,ONLINE,Farooq Durrani,
355,FIN,301,Corporate Finance, ,ONLINE,Jay Brandi,
356,FIN,301,Corporate Finance, ,ONLINE,Farooq Durrani,
357,FIN,302,Business Finance, ,ONLINE,Tony Okafor,
358,FIN,302,Business Finance, ,ONLINE,Tony Okafor,
359,FIN,304,Intermediate Corporate Finance, ,ONLINE,Tony Okafor,
360,FIN,396,Zero-Credit Internship-Finance, ,Belknap,Tony Okafor,
361,FIN,397,Co-op in Finance I, ,Belknap,Tony Okafor,
362,FIN,398,Co-op in Finance II, ,Belknap,Tony Okafor,
363,FIN,399,Co-op in Finance III, ,Belknap,Tony Okafor,
364,FREN,121,French Language and Culture I, ,ONLINE,Melissa Miller,
365,FREN,122,French Language and Culture II, ,ONLINE,Jason Wade,
366,FREN,201,Continuing French Language and Culture I, ,ONLINE,Melissa Miller,
367,GEN,103,Special Topics in College Mathematics for Non-STEM Majors,MoTuWeTh 10:00AM - 11:30AM,Belknap / Belknap Academic Building 248,"Kelly Coultas, Leslie Exmeyer, Leslie Exmeyer, Tyler Price",
368,GEN,103,Special Topics in College Mathematics for Non-STEM Majors,MoTuWeTh 1:30PM - 3:00PM,Belknap / Belknap Academic Building 248,"Kelly Coultas, Leslie Exmeyer, Leslie Exmeyer, Tyler Price",
369,GEN,103,Special Topics in College Mathematics for Non-STEM Majors, ,ONLINE,"Kelly Coultas, Jenna Price, Jenna Price",
370,GEN,103,Special Topics in College Mathematics for Non-STEM Majors, ,ONLINE,"Kelly Coultas, Bhumika Gowda, Bhumika Gowda",
371,GEN,103,Special Topics in College Mathematics for Non-STEM Majors, ,ONLINE,"Kelly Coultas, Jenna Price, Jenna Price",
372,GEN,104,Special Topics in College Mathematics for STEM Majors,MoTuWeTh 10:00AM - 11:30AM,Belknap / Belknap Academic Building 247,"Kelly Coultas, Tyler Price, Tyler Price",
373,GEN,104,Special Topics in College Mathematics for STEM Majors,MoTuWeTh 1:30PM - 3:00PM,Belknap / Belknap Academic Building 248,"Kelly Coultas, Leslie Exmeyer, Leslie Exmeyer, Tyler Price",
374,GEN,104,Special Topics in College Mathematics for STEM Majors, ,ONLINE,"Kelly Coultas, Lily Thaman, Lily Thaman",
375,GEN,104,Special Topics in College Mathematics for STEM Majors, ,ONLINE,"Kelly Coultas, Bhumika Gowda, Bhumika Gowda",
376,GEN,300,Internship, ,Belknap,Erica Gabbard,
377,GEN,301,Topics in Experiential Learning, ,ONLINE,Regina Roebuck,
378,GEOG,200,Human Geography in a Changing World,TBA,ONLINE / TBA,To be Announced,SBD2
379,GEOG,355,Introduction to Remote Sensing, ,ONLINE,Forrest Stevens,
380,GEOG,401,Cooperative Internship, ,Belknap,Wei Song,
381,GEOG,558,Introduction to Geographic Information Systems, ,ONLINE,Donald Biddle,
382,GER,121,German Language and Culture I, ,ONLINE,Mary Kloentrup,
383,GER,280,Culture of the German-Speaking World, ,ONLINE,Jordan Gabbard,AHP2
384,GLPH,401,Cooperative Internship in Global Public Health  (Humanities), ,INTERN,Christopher Tillquist,
385,GLPH,402,Cooperative Internship in Global Public Health (Social Sciences), ,INTERN,Christopher Tillquist,
386,GLPH,403,Cooperative Internship in Global Public Health (Natural Sciences), ,INTERN,Christopher Tillquist,
387,GLPH,405,Independent Study in Global Public Heath Studies (Humanities), ,Belknap,Christopher Tillquist,
388,GLPH,406,Independent Study in Global Public Health Studies (Social Sciences), ,Belknap,Christopher Tillquist,
389,GS,500,Summer Undergraduate Research and Creative Activity, ,Belknap,Paul DeMarco,
390,HSS,114,Fitness Walking, ,ONLINE,Brittney Kempf,
391,HSS,180,First Aid and Safety Education, ,ONLINE,Dylan Naeger,
392,HSS,184,Healthy Lifestyles I, ,ONLINE,Jason Jaggers,
393,HSS,263,Introduction to Exercise Physiology, ,ONLINE,Jessica Gibb,
394,HSS,293,Social and Psychological Dimensions of Physical Activity, ,ONLINE,Cheryl Griffin,SB
395,HSS,304,Introduction to Athletic Coaching, ,ONLINE,Timothy Wolz,
396,HSS,318,Diverse Populations in Physical Activity and Health, ,ONLINE,Seth Eckler,
397,HSS,320,Growth and Motor Development Across the Lifespan, ,ONLINE,Seth Eckler,
398,HSS,393,Medical Terminology, ,ONLINE,Kathryn Harman,
399,HSS,394,Foundations of Exercise Physiology, ,ONLINE,David Jett,
400,HSS,402,Practicum in Health and Human Performance, ,ONLINE,Ime deCaussin,
401,HSS,486,Advanced Exercise Physiology, ,ONLINE,Greta Cesarz,CUE
402,HSS,492,Exercise Science Internship, ,ONLINE,Ime deCaussin,
403,HIST,101,History of Civilizations I, ,ONLINE,Brad Bowman,SBHP2
404,HIST,101,History of Civilizations I, ,ONLINE,Rebecca Devlin,SBHP2
405,HIST,101,History of Civilizations I, ,ONLINE,Erin Wotring,SBHP2
406,HIST,102,History of Civilizations II,TBA,ONLINE / TBA,To be Announced,SBHD2
407,HIST,102,History of Civilizations II, ,ONLINE,Erin Wotring,SBHD2
408,HIST,104,American History I, ,ONLINE,Edward McInnis,SBHP1
409,HIST,310,Studies in History, ,ONLINE,Sascha Rolf Moebius,
410,HIST,310,Studies in History, ,ONLINE,Kathryn Green,
411,HIST,326,History of Childhood in America,TBA,ONLINE / TBA,To be Announced,WRSBHP1
412,HIST,326,History of Childhood in America, ,ONLINE,Tami Harbolt,WRSBHP1
413,HON,321,Research Colloqium in Natural Sciences, ,Off Campus / OFF CAMPUS,Rochelle Holm,
414,HOSP,399,Hospitality Management Internship III, ,Belknap,AJ Templeton,
415,HUM,105,Humanities in Global Cultures, ,ONLINE,Edoardo Fusaro,AHP2
416,HUM,105,Humanities in Global Cultures, ,ONLINE,Vincent Paczkoskie,AHP2
417,HUM,105,Humanities in Global Cultures, ,ONLINE,Bunny Hayes,AHP2
418,HUM,105,Humanities in Global Cultures, ,ONLINE,Jonathan Judd,AHP2
419,HUM,105,Humanities in Global Cultures, ,Belknap / Online,Per Wessels,AHP2
420,HUM,151,Creativity and the Arts, ,Belknap / Online,Erica Lewis,AH
421,HUM,152,Cultures of America, ,ONLINE,Robert Johmann,AHP1
422,HUM,218,Introduction to Eastern Religious Traditions,Tu 2:00PM - 4:00PM,Belknap / Belknap Academic Building 232,Patrick Pranke,AHP2
423,HUM,224,Introduction to Film, ,ONLINE,Erica Lewis,AHP2
424,HUM,324,Approaches to Film Interpretation, ,ONLINE,Lynda Mercer,
425,HUM,331,Humanities and Gender, ,ONLINE,Eve Carlisle Polley,AHP2
426,HUM,331,Humanities and Gender, ,ONLINE,Simona Bertacco,AHP2
427,HUM,338,Greek Mythology, ,ONLINE,Steven Watkins,
428,HUM,500,Honors Thesis in Humanities, ,Belknap,Pamela Beattie,WR
429,HUM,501,Independent Study, ,Belknap,Pamela Beattie,
430,ISE,288,Industrial Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
431,ISE,289,Industrial Engineering Cooperative Education I, ,INTERN,"Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
432,ISE,360,Probability and Statistics for Engineers,TuTh 11:00AM - 12:50PM,Belknap / J B Speed 100,Jacob Read,
433,ISE,370,Engineering Economic Analysis,TuTh 3:00PM - 4:50PM,Belknap / J B Speed 100,Jacob Read,
434,ISE,389,Industrial Engineering Cooperative Education II, ,INTERN,"Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
435,ISE,393,Independent Study in Industrial Engineering, ,Belknap,- TBA,
436,ISE,489,Industrial Engineering Cooperative Education III, ,INTERN,"Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
437,LALS,200,Exploring Latin America,TBA,ONLINE / TBA,To be Announced,AHD2
438,LALS,200,Exploring Latin America,TBA,ONLINE / TBA,To be Announced,AHD2
439,LALS,400,Latin American  and Latino Studies Internship, ,ONLINE,Manuel Medina,WR; CUE
440,LBST,400,Cooperative Internship in Liberal Studies, ,ONLINE,Andreas Elpidorou,
441,LBST,401,Senior Capstone Project, ,ONLINE,Andreas Elpidorou,CUE
442,MGMT,301,Management and Organizational Behavior, ,ONLINE,Anne Zwerg,
443,MGMT,301,Management and Organizational Behavior, ,ONLINE,Anne Zwerg,
444,MGMT,305,Human Resource Management, ,ONLINE,Alfred Frager,
445,MGMT,305,Human Resource Management, ,ONLINE,Alfred Frager,
446,MGMT,315,Collaboration and Negotiation-SB, ,ONLINE,Cory Williams,
447,MGMT,315,Collaboration and Negotiation-SB, ,ONLINE,Cory Williams,
448,MGMT,320,Principles of Operations Management, ,ONLINE,Mahesh Gupta,
449,MGMT,320,Principles of Operations Management, ,ONLINE,Mahesh Gupta,
450,MGMT,397,Co-op in Management, ,INTERN,Anne Zwerg,
451,MGMT,398,Co-op in Management II, ,INTERN,Anne Zwerg,
452,MGMT,399,Co-op in Management III, ,INTERN,Anne Zwerg,
453,MGMT,401,Operations Management, ,ONLINE,Cynthia Forgie,
454,MGMT,401,Operations Management, ,ONLINE,Cynthia Forgie,
455,MKT,301,Principles of Marketing, ,ONLINE,David Faulds,
456,MKT,301,Principles of Marketing, ,ONLINE,David Faulds,
457,MKT,380,Services Marketing, ,ONLINE,David Faulds,
458,MKT,395,Digital Marketing Strategy, ,ONLINE,Jeffrey Koleba,
459,MKT,396,Zero-Credit Internship-Marketing, ,Belknap,P.S. Raju,
460,MKT,397,Co-op in Marketing I, ,Belknap,P.S. Raju,
461,MKT,398,Co-op in Marketing II, ,Belknap,P.S. Raju,
462,MKT,399,Co-op in Marketing III, ,Belknap,P.S. Raju,
463,MKT,460,Integrative Marketing Strategy, ,ONLINE,Henrietta Pepper,CUE
464,MATH,105,Quantitative Reasoning, ,ONLINE,Ryan Luke,QR
465,MATH,111,College Algebra, ,ONLINE,Matt Scobee,QR
466,MATH,111,College Algebra, ,ONLINE,Ziyad Hamad,QR
467,MATH,180,Elements of Calculus, ,ONLINE,Junghwa Kim,QR
468,MATH,190,Precalculus,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 212C,Sarah Hadaidi,QR
469,MATH,205,Calculus I,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 108,Ziyad Hamad,QR
470,MATH,205,Calculus I,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 128,Junghwa Kim,QR
